genus,species,parasitic_habit,habit,native,ecosystem,ecosystem_lump,host,inat_GA,inat_entire,inat_south,inat_prop,georgia_inat,inat_south_prop,south_inat,protection_state,protection_fed,NatureServ_status_GA,swap_species,DNR_monitor,DNR_status_GA,DNR_status_lump,NatureServ_status,EO,accessions_GA,accessions_south,accessions_prop,georgia_accessions,last_accession_GA,habitat,georgiabiodiversity_link,SERNEC_link,NatureServ_link,INat_link,key_notes
Cuscuta,gronovii,Stem Holoparasite,Stem-Holo,Yes,Wetland,Wetland,Generalist,56,3373,762,7.35,5 to 10%,22.59,> 10%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,87,4996,1.74,Less than 5%,2019,N/A,N/A,SERNEC - Cuscuta gronovii (sernecportal.org),Cuscuta gronovii | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/16/2016
Aureolaria,pedicularia,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Oak,3,1441,172,1.74,Less than 5%,11.94,> 10%,No Georgia state protection,No US federal protection,S1?,No,N/A,S1?,S1,G5,0,29,2017,1.44,Less than 5%,2023,Oak woodlands and forests,Aureolaria pedicularia (georgiabiodiversity.org),SERNEC - Aureolaria pedicularia (sernecportal.org),Aureolaria pedicularia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/12/2024
Agalinis,decemloba,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,1,154,33,3.03,Less than 5%,21.43,> 10%,No Georgia state protection,No US federal protection,S1,Yes,less than 10,S1,S1,G3,8,0,0,0.00,0%,N/A,"Dry, grassy meadows.",https://georgiabiodiversity.org/portal/profile?group=all&es_id=15912,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157615/Agalinis_decemloba,https://www.inaturalist.org/observations?place_id=23&subview=map&taxon_id=1131697,Global Status last reviewed 2/14/2017; could be included in restoration fire disturbance work due to habitat it resides
Cuscuta,campestris,Stem Holoparasite,Stem-Holo,Yes,Grassland,Grassland,Generalist,28,5563,796,3.52,Less than 5%,14.31,> 10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,G5,0,0,0,0.00,0%,N/A,N/A,N/A,N/A,Cuscuta campestris | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/28/2007; Nature Serve states that status needs review
Orobanche,minor,Root Holoparasite,Root-Holo,No,Forest-Edge,Forest,Generalist,0,174,71,0.00,0%,40.80,> 25%,N/A,N/A,SNA,N/A,N/A,N/A,N/A,GNR,0,23,256,8.98,5 to 10%,2009,N/A,N/A,SERNEC - Orobanche minor (sernecportal.org),Orobanche minor | NatureServe Explorer,Observations · iNaturalist,N/A
Cuscuta,obtusiflora,Stem Holoparasite,Stem-Holo,Yes,Tropical,Tropical,Generalist,0,14,5,0.00,0%,35.71,> 25%,No Georgia state protection,No US federal protection,SNR,Yes,N/A,SNR,N/A,G5,0,5,314,1.59,Less than 5%,2014,"Parasitic, often on Polygonum or Justicia",Cuscuta obtusiflora var. glandulosa (georgiabiodiversity.org),SERNEC - Cuscuta obtusiflora (sernecportal.org),Cuscuta obtusiflora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 12/18/1986; Nature Serve states that status needs review
Agalinis,tenuifolia,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,183,5271,1721,10.63,10 to 25%,32.65,> 25%,N/A,N/A,S5,N/A,N/A,N/A,N/A,G5,0,261,7077,3.69,Less than 5%,2019,N/A,N/A,SERNEC - Agalinis tenuifolia (sernecportal.org),Agalinis tenuifolia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/23/2016
Agalinis,purpurea,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,274,7165,2913,9.41,5 to 10%,40.66,> 25%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,198,5469,3.62,Less than 5%,2019,N/A,N/A,SERNEC - Agalinis purpurea (sernecportal.org),Agalinis purpurea | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/25/2024
Epifagus,virginiana,Root Holoparasite,Root-Holo,Yes,Forest,Forest,American Beech,225,13294,3538,6.36,5 to 10%,26.61,> 25%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,116,4328,2.68,Less than 5%,2021,N/A,N/A,SERNEC - Epifagus virginiana (sernecportal.org),Epifagus virginiana | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Dasistoma,macrophylla,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Oak,6,2960,1041,0.58,Less than 5%,35.17,> 25%,No Georgia state protection,No US federal protection,S1?,No,less than 10,S1?,S1,G4,7,15,1282,1.17,Less than 5%,1987,Rocky limestone woods,Dasistoma macrophylla (georgiabiodiversity.org),SERNEC - Dasistoma macrophylla (sernecportal.org),Dasistoma macrophyllum | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 2/7/1992; Nature Serve states that status needs review
Castilleja,coccinea,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,13,5163,1571,0.83,Less than 5%,30.43,> 25%,No Georgia state protection,No US federal protection,S1?,No,less than 10,S1?,S1,G5,9,42,4316,0.97,Less than 5%,2014,Moist rock ledges; fens,Castilleja coccinea (georgiabiodiversity.org),SERNEC - Castilleja coccinea (sernecportal.org),Castilleja coccinea | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Pedicularis,canadensis,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,230,15805,6318,3.64,Less than 5%,39.97,> 25%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,0,7592,0.00,0%,N/A,N/A,N/A,SERNEC - Pedicularis canadensis (sernecportal.org),Pedicularis canadensis | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/20/2024
Aureolaria,grandiflora,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,White Oak,19,1593,666,2.85,Less than 5%,41.81,> 25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,G4,0,0,0,0.00,0%,N/A,N/A,N/A,N/A,Aureolaria grandiflora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 12/7/1984; Nature Serve states that status needs review
Conopholis,americana,Root Holoparasite,Root-Holo,Yes,Forest,Forest,Red Oak,440,25425,10964,4.01,Less than 5%,43.12,> 25%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,216,3336,6.47,5 to 10%,2013,N/A,N/A,SERNEC - Conopholis americana (sernecportal.org),Conopholis americana | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/27/2016; Habitat not decribed on Nature Serve or DNR
Orobanche,uniflora,Root Holoparasite,Root-Holo,Yes,Forest,Forest,Generalist,55,3538,1347,4.08,Less than 5%,38.07,> 25%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,95,3015,3.15,Less than 5%,2020,N/A,N/A,SERNEC - Orobanche uniflora (sernecportal.org),Orobanche uniflora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Aphyllon,uniflorum,Root Holoparasite,Root-Holo,Yes,Forest,Forest,Hardwoods,55,3538,1347,4.08,Less than 5%,38.07,> 25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,99,3015,3.28,Less than 5%,2020,N/A,N/A,SERNEC - Orobanche uniflora (sernecportal.org),N/A,Observations · iNaturalist,N/A
Cuscuta,pentagona,Stem Holoparasite,Stem-Holo,Yes,Wetland/Grassland,Wetland,Generalist,7,454,204,3.43,Less than 5%,44.93,> 25%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,69,5436,1.27,Less than 5%,2012,N/A,N/A,SERNEC - Cuscuta pentagona (sernecportal.org),Cuscuta pentagona | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/26/2024
Melampyrum,lineare,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Generalist,90,7297,659,13.66,10 to 25%,9.03,< 10%,N/A,N/A,S5,N/A,N/A,N/A,N/A,G5,0,90,4335,2.08,Less than 5%,2018,N/A,N/A,SERNEC - Melampyrum lineare (sernecportal.org),Melampyrum lineare | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Comandra,umbellata,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,2,12770,770,0.26,Less than 5%,6.03,< 10%,N/A,N/A,S3?,N/A,N/A,N/A,N/A,G5,0,18,11339,0.16,Less than 5%,1999,N/A,N/A,SERNEC - Comandra umbellata (sernecportal.org),Comandra umbellata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/16/2016
Agalinis,maritima,Root Hemiparasite,Root-Hemi,Yes,Salt-marsh,Salt-marsh,Generalist,0,635,455,0.00,0%,71.65,> 50%,No Georgia state protection,No US federal protection,SNR,No,11 to 25,S1,S1,G5,1,0,0,0.00,0%,N/A,Saltmarsh,Agalinis maritima var. grandiflora (georgiabiodiversity.org),N/A,Agalinis maritima | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/25/2024
Aureolaria,virginica,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Oak,187,1668,1098,17.03,10 to 25%,65.83,> 50%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,189,2753,6.87,5 to 10%,2020,N/A,N/A,SERNEC - Aureolaria virginica (sernecportal.org),Aureolaria virginica | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/12/2024
Aureolaria,flava,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,White Oak,88,2562,1656,5.31,5 to 10%,64.64,> 50%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,105,2642,3.97,Less than 5%,2022,N/A,N/A,SERNEC - Aureolaria flava (sernecportal.org),Aureolaria flava | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/12/2024
Buchnera,americana,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,14,749,500,2.80,Less than 5%,66.76,> 50%,No Georgia state protection,No US federal protection,SNR,Yes,less than 10,S1,S1,G5,7,82,3603,2.28,Less than 5%,2013,Wet meadows; seasonally moist barrens and limestone glades,Buchnera americana (georgiabiodiversity.org),SERNEC - Buchnera americana (sernecportal.org),Buchnera americana | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 3/14/1994; Nature Serve states that status needs review
Agalinis,gattingeri,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,8,348,248,3.23,Less than 5%,71.26,> 50%,No Georgia state protection,No US federal protection,SH,No,Over 25,SH,SH,G4,1,0,0,0.00,0%,N/A,"Cherty soils in oak-pine woods, glades",https://georgiabiodiversity.org/portal/profile?group=all&es_id=20076,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150817/Agalinis_gattingeri,https://www.inaturalist.org/taxa/158056-Agalinis-gattingeri,Global Status last reviewed 5/25/1994; Nature Serve states that Global Status needs review
Schwalbea,americana,Root Hemiparasite,Root-Hemi,Yes,Sandhills,Sandhills,Generalist,1,67,36,2.78,Less than 5%,53.73,> 50%,Endangered,Listed Endangered,S2,Yes,less than 10,S2,S2,G2 ,21,39,423,9.22,5 to 10%,N/A,"Open pinelands, as in well-managed, somewhat moist longleaf pine-wiregrass forests seeps",Schwalbea americana (georgiabiodiversity.org),SERNEC - Schwalbea americana (sernecportal.org),Schwalbea americana | NatureServe Explorer,https://www.inaturalist.org/observations?place_id=23&taxon_id=168637&view=species,Global Status last reviewed 4/2/2020
Agalinis,setacea,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,Generalist,2,123,95,2.11,Less than 5%,77.24,> 50%,N/A,N/A,S4,N/A,N/A,N/A,N/A,G5,0,54,1005,5.37,5 to 10%,2015,N/A,N/A,SERNEC - Agalinis setacea (sernecportal.org),Agalinis setacea | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 11/24/1996; Nature Serve states that status needs review
Cuscuta,indecora,Stem Holoparasite,Stem-Holo,Yes,Wetland,Wetland,Generalist,1,414,283,0.35,Less than 5%,68.36,> 50%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,N/A,0,22,2455,0.90,Less than 5%,1999,N/A,N/A,SERNEC - Cuscuta indecora (sernecportal.org),Cuscuta indecora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/26/2024
Agalinis,divaricata,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,Generalist,0,72,70,0.00,0%,97.22,> 50%,No Georgia state protection,No US federal protection,S1?,No,11 to 25,S1?,S1,G3,5,24,250,9.60,5 to 10%,2010,"Dry, grassy, pine-scrub oak ridges",https://georgiabiodiversity.org/portal/profile?group=all&es_id=15287,SERNEC - Agalinis divaricata (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151185/Agalinis_divaricata,https://www.inaturalist.org/observations?place_id=23&subview=map&taxon_id=158051,"Global Status last reviewed 4/19/1997; threated due to conversion of pine plantations, pastures, development, and fire supression"
Agalinis,harperi,Root Hemiparasite,Root-Hemi,Yes,Wetland,Wetland,Generalist,0,37,34,0.00,0%,91.89,> 75%,No Georgia state protection,No US federal protection,SNR,No,Over 25,SH,SH,G4,11,15,256,5.86,5 to 10%,2019,"Pine savannas, bogs, interdune swales",Agalinis harperi (georgiabiodiversity.org),SERNEC - Agalinis harperi (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158360/Agalinis_harperi,Observations · iNaturalist,Global Status last reviewed 1/31/2001; Nature Serve states that Global Status needs review
Macranthera,flammea,Root Hemiparasite,Root-Hemi,Yes,Wetland,Wetland,Generalist,0,73,65,0.00,0%,89.04,> 75%,Threatened,No US federal protection,S1?,Yes,11 to 25,S1?,S1,G3,15,76,394,19.29,16 to 25%,2019,"Wet, sandy thickets; pitcherplant bogs",Macranthera flammea (georgiabiodiversity.org),SERNEC - Macranthera flammea (sernecportal.org),Macranthera flammea | NatureServe Explorer,Observations · iNaturalist,Global Status last review 4/15/1998; Nature Serve states that status needs review
Aureolaria,pectinata,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Oak,136,992,985,13.81,10 to 25%,99.29,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,217,1434,15.13,14 to 25%,2021,N/A,N/A,SERNEC - Aureolaria pectinata (sernecportal.org),Aureolaria pectinata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 12/15/1988; Nature Serve states that status needs review
Pyrularia,pubera,Stem Hemiparasite,Stem-Hemi,Yes,Forest,Forest,Generalist,190,1660,1616,11.76,10 to 25%,97.35,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,152,1615,9.41,5 to 10%,2015,N/A,N/A,SERNEC - Pyrularia pubera (sernecportal.org),Pyrularia pubera | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 9/9/1988; Nature Serve states that status needs review
Cuscuta,harperi,Stem Holoparasite,Stem-Holo,Yes,Wetland,Wetland,Generalist,7,67,65,10.77,10 to 25%,97.01,> 75%,Endangered,No US federal protection,S1,Yes,less than 10,S1,S1,G2,4,6,64,9.38,5 to 10%,2016,Altamaha Grit outcrops; granite outcrops; often with Liatris microcephala as host,Cuscuta harperi (georgiabiodiversity.org),SERNEC - Cuscuta harperi (sernecportal.org),Cuscuta harperi | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 1/26/2006; Nature Serve states that status needs review
Aureolaria,laevigata,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Oak,33,638,558,5.91,5 to 10%,87.46,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,38,1095,3.47,Less than 5%,2002,N/A,N/A,SERNEC - Aureolaria laevigata (sernecportal.org),Aureolaria laevigata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/2/1988; Nature Serve states that statues needs review
Agalinis,fasciculata,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,171,1901,1842,9.28,5 to 10%,96.90,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,237,3109,7.62,5 to 10%,2021,N/A,N/A,SERNEC - Agalinis fasciculata (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135271/Agalinis_fasciculata,https://www.inaturalist.org/observations?place_id=23&subview=map&taxon_id=158053,"Global Status last reviewed 5/11/1985; Nature Serve states that status needs review, habitat not described on Nature Serve and no DNR Website for this species"
Seymeria,pectinata,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,Generalist,43,773,770,5.58,5 to 10%,99.61,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G4,0,119,793,15.01,13 to 25%,2018,N/A,N/A,SERNEC - Seymeria pectinata (sernecportal.org),Seymeria pectinata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 3/29/1990; Nature Serve states that status needs review
Agalinis,obtusifolia,Root Hemiparasite,Root-Hemi,Yes,Wetland,Wetland,Generalist,4,57,54,7.41,5 to 10%,94.74,> 75%,N/A,N/A,S4,N/A,N/A,N/A,N/A,G4,0,114,1053,10.83,11 to 25%,2019,N/A,N/A,SERNEC - Agalinis obtusifolia (sernecportal.org),Agalinis obtusifolia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 2/14/2017; Nature Serve states that status needs review
Phoradendron,leucarpum,Stem Hemiparasite,Stem-Hemi,Yes,Forest,Forest,Oak,574,11701,9369,6.13,5 to 10%,80.07,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,0,8005,0.00,0%,N/A,N/A,N/A,SERNEC - Phoradendron leucarpum (sernecportal.org),Phoradendron leucarpum | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/10/1985; Nature Serve states that status needs review
Cuscuta,compacta,Stem Holoparasite,Stem-Holo,Yes,Wetland/Savannah,Wetland,Generalist,21,369,307,6.84,5 to 10%,83.20,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,118,2095,5.63,5 to 10%,2013,N/A,N/A,SERNEC - Cuscuta compacta (sernecportal.org),Cuscuta compacta | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 6/26/2024
Nestronia,umbellula,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Generalist,4,159,157,2.55,Less than 5%,98.74,> 75%,Rare,No US federal protection,S3,Yes,less than 10,S3,S3,G4,55,111,660,16.82,15 to 25%,2014,Mixed with dwarf shrubby heaths in oak-hickory-pine woods; often in transition areas between flatwoods and uplands,Nestronia umbellula (georgiabiodiversity.org),SERNEC - Nestronia umbellula (sernecportal.org),Nestronia umbellula | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 11/3/1994; Nature Serve states thta status needs review
Agalinis,heterophylla,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,3,5240,5102,0.06,Less than 5%,97.37,> 75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,G4,0,0,1200,0.00,0%,N/A,N/A,N/A,SERNEC - Agalinis heterophylla (sernecportal.org),Agalinis heterophylla | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/2/1988; Nature Serve states that statues needs review
Agalinis,filifolia,Root Hemiparasite,Root-Hemi,Yes,Sandhills,Sandhills,Generalist,8,584,580,1.38,Less than 5%,99.32,> 75%,No Georgia state protection,No US federal protection,S2,No,Over 25,S2?,S2,G4,6,23,299,7.69,5 to 10%,2008,"Dry, sandy, longleaf pinelands",https://georgiabiodiversity.org/portal/profile?group=all&es_id=15439,SERNEC - Agalinis filifolia (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136666/Agalinis_filifolia,https://www.inaturalist.org/taxa/158055-Agalinis-filifolia,Global Status last reviewed 5/2/1988; Nature Serve states that statues needs review
Seymeria,cassioides,Root Hemiparasite,Root-Hemi,Yes,Sandhills,Sandhills,Generalist,35,798,781,4.48,Less than 5%,97.87,> 75%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G5,0,139,1376,10.10,10 to 25%,2021,N/A,N/A,SERNEC - Seymeria cassioides (sernecportal.org),Seymeria cassioides | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 10/11/1985; Nature Serve states that status needs review
Buchnera,floridana,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,Generalist,64,4059,4012,1.60,Less than 5%,98.84,> 75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.00,0%,N/A,N/A,N/A,N/A,N/A,Observations · iNaturalist,N/A
Agalinis,linifolia,Root Hemiparasite,Root-Hemi,Yes,Wetland,Wetland,Generalist,8,362,356,2.25,Less than 5%,98.34,> 75%,N/A,N/A,S3S4,N/A,N/A,N/A,N/A,G4,0,52,686,7.58,5 to 10%,2011,N/A,N/A,SERNEC - Agalinis linifolia (sernecportal.org),Agalinis linifolia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 3/8/1994; Nature Serve states that status needs review
Cuscuta,rostrata,Stem Holoparasite,Stem-Holo,Yes,Forest-Edge,Forest,Generalist,5,223,220,2.27,Less than 5%,98.65,> 75%,No Georgia state protection,No US federal protection,S3?,Yes,N/A,S3?,S3,G4,0,14,360,3.89,Less than 5%,2001,High elevation forests on Eurybia chlorolepis,Cuscuta rostrata (georgiabiodiversity.org),SERNEC - Cuscuta rostrata (sernecportal.org),Cuscuta rostrata (georgiabiodiversity.org),Observations · iNaturalist,Global Status last reviewed 1/9/1991; Nature Serve states that status needs review
Pedicularis,lanceolata,Root Hemiparasite,Root-Hemi,Yes,Wetland,Wetland,Generalist,0,2285,91,0.00,0%,3.98,< 10%,Endangered,No US federal protection,S1,Yes,less than 10,S1,S1,G4,3,4,1770,0.23,Less than 5%,1992,Bogs and wet woods,Pedicularis lanceolata (georgiabiodiversity.org),SERNEC - Pedicularis lanceolata (sernecportal.org),Pedicularis lanceolata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/20/2024
